"NAME";"Kod";"global_id";"KC";
"Специалисты по медицинскому уходу и акушерству";"222";"62854857";"1";
"Специалисты по медицинскому уходу";"2221";"62854858";"5";
"Специалисты по акушерству";"2222";"62854859";"9";
"Высококвалифицированные целители и практики альтернативной и народной медицины";"223";"62854860";"4";
"Высококвалифицированные целители и практики альтернативной и народной медицины";"2230";"62854861";"4";
"Врачи скорой медицинской помощи и парамедики";"224";"62854862";"7";
"Врачи скорой медицинской помощи и парамедики";"2240";"62854863";"7";
"Ветеринарные врачи";"225";"62854864";"6";
"Ветеринарные врачи";"2250";"62854865";"6";
"Другие специалисты в области здравоохранения";"226";"62854866";"2";
"Стоматологи";"2261";"62854867";"6";
"Провизоры";"2262";"62854868";"1";
"Специалисты в области медицинских аспектов охраны труда и окружающей среды";"2263";"62854869";"3";
"Физиотерапевты";"2264";"62854870";"7";
"Диетологи и специалисты по рациональному питанию";"2265";"62854871";"0";
"Аудиологи и специалисты по развитию и восстановлению речи";"2266";"62854872";"4";
"Офтальмологи-оптики и оптометристы (за исключением врачей-офтальмологов)";"2267";"62854873";"8";
"Специалисты в области здравоохранения, не входящие в другие группы";"2269";"62854874";"5";
"Специалисты в области образования";"23";"62854875";"8";
"Профессорско-преподавательский персонал университетов и других организаций высшего образования";"231";"62854876";"0";
"Профессорско-преподавательский персонал университетов и других организаций высшего образования";"2310";"62854877";"0";
"Преподаватели средних профессиональных образовательных организаций";"232";"62854878";"3";
"Преподаватели средних профессиональных образовательных организаций";"2320";"62854879";"3";
"Педагогические работники в средней школе";"233";"62854880";"6";
"Педагогические работники в средней школе";"2330";"62854881";"6";
"Педагогические работники в начальном и дошкольном образовании";"234";"62854882";"9";
"Педагогические работники в начальном образовании";"2341";"62854883";"2";
"Педагогические работники в дошкольном образовании";"2342";"62854884";"6";
"Другие специалисты в области образования";"235";"62854885";"1";
"Специалисты по методике обучения";"2351";"62854886";"5";
"Преподаватели, работающие с инвалидами или лицами с особыми возможностями здоровья";"2352";"62854887";"9";
"Преподаватели иностранных языков на курсах и частные";"2353";"62854888";"2";
"Преподаватели музыки в музыкальных школах и частные";"2354";"62854889";"6";
"Преподаватели в области изобразительных и иных искусств";"2355";"62854890";"7";
"Преподаватели по обучению компьютерной грамотности";"2356";"62854891";"3";
"Преподаватели по программам дополнительного обучения";"2357";"62854892";"7";
"Тренеры и инструкторы-методисты по физкультуре и спорту";"2358";"62854893";"0";
"Специалисты в области образования, не входящие в другие группы";"2359";"62854894";"4";
"Специалисты в сфере бизнеса и администрирования";"24";"62854895";"0";
"Специалисты по финансовой деятельности";"241";"62854896";"2";
"Бухгалтеры";"2411";"62854897";"6";
"Консультанты по финансовым вопросам и инвестициям";"2412";"62854898";"6";
"Финансовые аналитики";"2413";"62854899";"3";
"Оценщики и эксперты";"2414";"62854900";"7";
"Специалисты в области администрирования";"242";"62854901";"5";
