"NAME";"Kod";"global_id";"KC";
"КВАЛИФИЦИРОВАННЫЕ РАБОЧИЕ ПРОМЫШЛЕННОСТИ, СТРОИТЕЛЬСТВА, ТРАНСПОРТА И РАБОЧИЕ РОДСТВЕННЫХ ЗАНЯТИЙ";"7";"62855184";"";
"Рабочие, занятые в строительстве, и рабочие родственных занятий (за исключением электриков)";"71";"62855185";"9";
"Рабочие строительных и родственных занятий";"711";"62855186";"1";
"Строители зданий";"7111";"62855187";"5";
"Каменщики (по кирпичу и камню) и рабочие родственных занятий";"7112";"62855188";"9";
"Камнетесы и обработчики камня";"7113";"62855189";"2";
"Бетоноукладчики, бетоноотделочники и рабочие родственных занятий";"7114";"62855190";"6";
"Плотники и столяры";"7115";"62855191";"5";
"Строители и рабочие родственных занятий, не входящие в другие группы";"7119";"62855192";"4";
"Рабочие-отделочники и рабочие родственных занятий";"712";"62855193";"4";
"Кровельщики";"7121";"62855194";"8";
"Настильщики полов и плиточники";"7122";"62855195";"1";
"Штукатуры";"7123";"62855196";"5";
"Укладчики тепло- и акустической изоляции";"7124";"62855197";"9";
"Стекольщики";"7125";"62855198";"2";
"Слесари-сантехники и слесари-трубопроводчики";"7126";"62855199";"6";
"Механики кондиционеров и холодильных установок";"7127";"62855200";"0";
"Маляры, рабочие по очистке поверхностей зданий и сооружений и родственных занятий";"713";"62855201";"7";
"Маляры и рабочие родственных занятий";"7131";"62855202";"0";
"Лакировщики и покрасчики";"7132";"62855203";"4";
"Рабочие по очистке поверхностей зданий и сооружений";"7133";"62855204";"8";
"Рабочие, занятые в металлообрабатывающем и машиностроительном производстве, механики и ремонтники";"72";"62855205";"0";
"Формовщики, сварщики, вальцовщики, подготовители конструкционного металла и рабочие родственных занятий";"721";"62855206";"3";
"Формовщики и стерженщики";"7211";"62855207";"7";
"Сварщики и газорезчики";"7212";"62855208";"0";
"Вальцовщики";"7213";"62855209";"4";
"Подготовители конструкционного металла и монтажники";"7214";"62855210";"8";
"Такелажники и кабельщики-спайщики";"7215";"62855211";"1";
"Кузнецы, слесари-инструментальщики, станочники, наладчики и рабочие родственных занятий";"722";"62855212";"6";
"Кузнецы";"7221";"62855213";"1";
"Слесари-инструментальщики и рабочие родственных занятий";"7222";"62855214";"3";
"Станочники и наладчики металлообрабатывающих станков";"7223";"62855215";"7";
"Полировщики, шлифовщики и заточники инструментов";"7224";"62855216";"0";
"Механики и ремонтники транспортных средств, сельскохозяйственного и производственного оборудования и рабочие родственных занятий";"723";"62855217";"9";
"Механики и ремонтники автотранспортных средств";"7231";"62855218";"2";
"Механики и ремонтники летательных аппаратов, судов и железнодорожного подвижного состава";"7232";"62855219";"6";
"Механики и ремонтники сельскохозяйственного и производственного оборудования";"7233";"62855220";"7";
"Ремонтники велосипедов и рабочие родственных занятий";"7234";"62855221";"3";
"Рабочие, занятые изготовлением прецизионных инструментов и приборов, рабочие художественных промыслов и полиграфического производства";"73";"62855222";"2";
"Рабочие, занятые изготовлением прецизионных инструментов и приборов, рабочие художественных промыслов";"731";"62855223";"5";
"Рабочие, занятые изготовлением и ремонтом прецизионных инструментов и приборов";"7311";"62855224";"9";
"Изготовители, настройщики и реставраторы музыкальных инструментов";"7312";"62855225";"2";
"Мастера по изготовлению ювелирных украшений и изделий из драгоценных металлов и камней, изделий художественных промыслов (лаковая миниатюра, художественная роспись по металлу и керамике)";"7313";"62855226";"6";
"Гончары и рабочие родственных занятий";"7314";"62855227";"7";
"Формовщики изделий из стекла, резчики по камню, шлифовщики и полировщики";"7315";"62855228";"3";
"Художники по росписи, художники-оформители, гравировщики и травильщики";"7316";"62855229";"7";
"Рабочие художественных промыслов, изготавливающие плетеные изделия, изделия из дерева и аналогичных материалов";"7317";"62855230";"0";
"Рабочие художественных промыслов, изготавливающие изделия из текстиля, кожи, меха и аналогичных материалов";"7318";"62855231";"4";
"Квалифицированные рабочие ручного труда, не входящие в другие группы";"7319";"62855232";"8";
"Рабочие полиграфического производства";"732";"62855233";"8";
"Рабочие допечатной стадии полиграфического производства";"7321";"62855234";"1";
"Печатники";"7322";"62855235";"5";
"Отделочники и переплетчики";"7323";"62855236";"9";
"Рабочие в области электротехники и электроники";"74";"62855237";"4";
"Электромонтажники и ремонтники электрического оборудования";"741";"62855238";"7";
"Электрики в строительстве и рабочие родственных занятий";"7411";"62855239";"0";
"Электромеханики и монтеры электрического оборудования";"7412";"62855240";"4";
"Монтажники и ремонтники линий электропередач";"7413";"62855241";"8";
"Монтажники и ремонтники электронного и телекоммуникационного оборудования";"742";"62855242";"3";
"Механики по ремонту и обслуживанию электронного оборудования";"7421";"62855243";"3";
"Монтажники и ремонтники по обслуживанию ИКТ и устройств связи";"7422";"62855244";"7";
"Рабочие пищевой, деревообрабатывающей, текстильной и швейной промышленности и рабочие родственных занятий";"75";"62855245";"6";
"Рабочие пищевой промышленности и рабочие родственных занятий";"751";"62855246";"9";
"Обработчики и изготовители мясных, рыбных и других продуктов питания";"7511";"62855247";"2";
"Пекари, кондитеры и изготовители конфет";"7512";"62855248";"6";
"Изготовители молочной продукции";"7513";"62855249";"9";
"Заготовители и обработчики фруктов и овощей";"7514";"62855250";"3";
"Дегустаторы продуктов питания и напитков и определители сортности";"7515";"62855251";"7";
"Подготовители и производители табачной продукции";"7516";"62855252";"0";
"Деревообработчики, краснодеревщики и рабочие родственных занятий";"752";"62855253";"1";
"Рабочие, занятые на первоначальной обработке древесины";"7521";"62855254";"5";
"Краснодеревщики и рабочие родственных занятий";"7522";"62855255";"9";
"Наладчики и операторы деревообрабатывающих станков";"7523";"62855256";"2";
"Рабочие ручного труда, производящие одежду и обувь";"753";"62855257";"4";
"Мужские и женские портные, меховщики и шляпники";"7531";"62855258";"8";
"Изготовители лекал и закройщики";"7532";"62855259";"1";
"Швеи, вышивальщицы и рабочие родственных занятий";"7533";"62855260";"5";
"Обойщики мебели и рабочие родственных занятий";"7534";"62855261";"9";
"Обработчики шкур, дубильщики и скорняки";"7535";"62855262";"2";
"Обувщики и изготовители аналогичных изделий";"7536";"62855263";"6";
"Другие квалифицированные рабочие, занятые в промышленности, и рабочие родственных занятий";"754";"62855264";"7";
"Водолазы";"7541";"62855265";"0";
"Взрывники и запальщики и рабочие родственных занятий";"7542";"62855266";"4";
"Определители сортности и испытатели изделий (за исключением продуктов питания и напитков)";"7543";"62855267";"8";
"Фумигаторщики и другие рабочие по борьбе с вредителями и сорняками";"7544";"62855268";"1";
"Квалифицированные рабочие промышленности и рабочие родственных занятий, не входящие в другие группы";"7549";"62855269";"5";
"ОПЕРАТОРЫ ПРОИЗВОДСТВЕННЫХ УСТАНОВОК И МАШИН, СБОРЩИКИ И ВОДИТЕЛИ";"8";"62855270";"";
"Операторы промышленных установок и стационарного оборудования";"81";"62855271";"6";
"Операторы горнодобывающих и горно-обогатительных установок";"811";"62855272";"2";
"Операторы и машинисты горного и шахтного оборудования";"8111";"62855273";"6";
"Операторы, аппаратчики и машинисты установок по обработке руды и обогатительного оборудования";"8112";"62855274";"1";
"Бурильщики скважин и колодцев и рабочие родственных занятий";"8113";"62855275";"3";
"Операторы машин по производству продукции из бетона, камня и других минеральных материалов";"8114";"62855276";"7";
"Операторы металлоплавильных установок и установок по обработке металлов";"812";"62855277";"5";
"Операторы металлоплавильных установок";"8121";"62855278";"9";
"Операторы установок полирования, металлизации и нанесения защитного слоя на металл";"8122";"62855279";"2";
"Операторы установок по переработке химического сырья и операторы машин по производству фотографической продукции";"813";"62855280";"8";
"Операторы установок по переработке химического сырья";"8131";"62855281";"1";
"Операторы машин по производству фотографической продукции";"8132";"62855282";"5";
"Операторы машин по производству изделий из резины, пластмасс и бумаги";"814";"62855283";"0";
"Операторы машин по производству изделий из резины";"8141";"62855284";"4";
"Операторы машин и установок по производству изделий из пластмасс";"8142";"62855285";"8";
"Операторы машин по производству изделий из бумаги и картона";"8143";"62855286";"1";
"Операторы машин по производству текстильной, меховой и кожаной продукции";"815";"62855287";"3";
"Операторы машин по приготовлению волокна, прядильных и намоточных машин";"8151";"62855288";"7";
"Операторы ткацких и вязальных машин";"8152";"62855289";"0";
"Операторы швейного оборудования";"8153";"62855290";"4";
"Операторы машин по отбеливанию, окраске и чистке";"8154";"62855291";"8";
"Операторы машин по выделке меха и кожи";"8155";"62855292";"1";
"Операторы машин по изготовлению обуви и аналогичной продукции";"8156";"62855293";"5";
"Операторы прачечных машин";"8157";"62855294";"9";
"Операторы машин по производству текстильной, меховой и кожаной продукции, не входящие в другие группы";"8159";"62855295";"6";
"Операторы машин по обработке пищевых и аналогичных продуктов";"816";"62855296";"6";
"Операторы машин по обработке пищевых и аналогичных продуктов";"8160";"62855297";"6";
"Операторы машин по переработке древесины и изготовлению бумаги";"817";"62855298";"9";
"Операторы машин по изготовлению бумажной массы и бумаги";"8171";"62855299";"2";
"Операторы машин по переработке древесины";"8172";"62855300";"6";
"Другие операторы промышленных установок и машин";"818";"62855301";"1";
"Операторы машин по изготовлению стекла и керамики";"8181";"62855302";"5";
"Операторы паровых машин и бойлерных установок";"8182";"62855303";"9";
"Операторы упаковочных, разливочных и маркировочных машин";"8183";"62855304";"2";
"Операторы промышленных установок и машин, не входящие в другие группы";"8189";"62855305";"4";
"Сборщики";"82";"62855306";"1";
"Сборщики";"821";"62855307";"4";
"Слесари-сборщики механических машин";"8211";"62855308";"8";
"Сборщики электрического и электронного оборудования";"8212";"62855309";"1";
"Сборщики, не входящие в другие группы";"8219";"62855310";"7";
"Водители и операторы подвижного оборудования";"83";"62855311";"3";
"Машинисты локомотивов и рабочие родственных занятий";"831";"62855312";"6";
"Машинисты локомотивов";"8311";"62855313";"3";
"Рабочие, обеспечивающие безопасность движения и формирование поездов на железнодорожных станциях";"8312";"62855314";"3";
"Водители легковых автомобилей, фургонов и мотоциклов";"832";"62855315";"9";
"Водители мототранспортных средств";"8321";"62855316";"2";
"Водители легковых автомобилей, такси и фургонов";"8322";"62855317";"6";
"Водители грузового и пассажирского транспорта";"833";"62855318";"1";
"Водители пассажирского транспорта (автобусов, троллейбусов и трамваев)";"8331";"62855319";"5";
"Водители грузового транспорта";"8332";"62855320";"9";
"Операторы подвижного оборудования";"834";"62855321";"4";
"Операторы моторизованного сельскохозяйственного оборудования и оборудования лесных хозяйств";"8341";"62855322";"8";
"Операторы землеройных и аналогичных машин";"8342";"62855323";"1";
"Операторы (машинисты) кранов, подъемников и аналогичного оборудования";"8343";"62855324";"5";
"Операторы автопогрузчиков";"8344";"62855325";"9";
"Члены судовых команд и рабочие родственных занятий";"835";"62855326";"7";
"Члены судовых команд и рабочие родственных занятий";"8350";"62855327";"7";
"НЕКВАЛИФИЦИРОВАННЫЕ РАБОЧИЕ";"9";"62855328";"";
"Уборщики и прислуга";"91";"62855329";"0";
"Уборщики и прислуга в домах, отелях (гостиницах) и учреждениях";"911";"62855330";"3";
"Домашняя прислуга и уборщики";"9111";"62855331";"7";
"Уборщики и прислуга в учреждениях, отелях (гостиницах) и других местах";"9112";"62855332";"0";
"Мойщики транспортных средств и окон, прачки и другие уборщики вручную";"912";"62855333";"6";
"Прачки и гладильщицы вручную";"9121";"62855334";"3";
"Мойщики транспортных средств";"9122";"62855335";"3";
"Мойщики окон";"9123";"62855336";"7";
"Другие уборщики";"9129";"62855337";"9";
"Неквалифицированные рабочие сельского и лесного хозяйства, рыбоводства и рыболовства";"92";"62855338";"2";
"Неквалифицированные рабочие сельского и лесного хозяйства, рыбоводства и рыболовства";"921";"62855339";"5";
"Неквалифицированные рабочие в растениеводстве";"9211";"62855340";"9";
"Неквалифицированные рабочие в животноводстве";"9212";"62855341";"2";
"Неквалифицированные рабочие в производстве смешанной растениеводческой и животноводческой продукции";"9213";"62855342";"6";
"Неквалифицированные рабочие в садоводстве";"9214";"62855343";"9";
"Неквалифицированные рабочие в лесоводстве";"9215";"62855344";"3";
"Неквалифицированные рабочие рыбоводства, рыболовства и производства морепродуктов";"9216";"62855345";"7";
"Неквалифицированные рабочие, занятые в горнодобывающей промышленности, строительстве, обрабатывающей промышленности и на транспорте";"93";"62855346";"4";
"Неквалифицированные рабочие, занятые в горнодобывающей промышленности и строительстве";"931";"62855347";"7";
"Неквалифицированные рабочие, занятые в горнодобывающей промышленности и разработке карьеров";"9311";"62855348";"0";
"Неквалифицированные рабочие, занятые на строительстве и ремонте дорог, плотин и аналогичных гражданских сооружений";"9312";"62855349";"4";
"Неквалифицированные рабочие, занятые на строительстве зданий";"9313";"62855350";"8";
"Неквалифицированные рабочие, занятые в обрабатывающей промышленности";"932";"62855351";"5";
"Упаковщики вручную";"9321";"62855352";"3";
"Неквалифицированные рабочие, занятые в обрабатывающей промышленности, не входящие в другие группы";"9329";"62855353";"2";
"Неквалифицированные рабочие, занятые на транспорте и в хранении";"933";"62855354";"2";
"Рабочие, управляющие транспортными средствами с ручным и педальным управлением";"9331";"62855355";"6";
"Извозчики, рабочие, управляющие транспортными средствами на тягловой силе, и другие неквалифицированные рабочие, занятые на транспорте";"9332";"62855356";"0";
"Грузчики";"9333";"62855357";"3";
"Заполнители полок в магазинах";"9334";"62855358";"7";
"Помощники в приготовлении пищи";"94";"62855359";"6";
"Помощники в приготовлении пищи";"941";"62855360";"9";
"Изготовители пищи быстрого приготовления";"9411";"62855361";"2";
"Помощники на кухне";"9412";"62855362";"6";
"Уличные торговцы и другие неквалифицированные работники, оказывающие различные уличные услуги";"95";"62855363";"8";
"Неквалифицированные работники, оказывающие различные уличные услуги";"951";"62855364";"0";
"Неквалифицированные работники, оказывающие различные уличные услуги";"9510";"62855365";"0";
"Уличные торговцы (за исключением продуктов питания)";"952";"62855366";"3";
"Уличные торговцы (за исключением продуктов питания)";"9520";"62855367";"3";
"Неквалифицированные работники по сбору мусора и другие неквалифицированные работники";"96";"62855368";"7";
"Неквалифицированные работники по сбору мусора";"961";"62855369";"2";
"Сборщики и переработчики мусора";"9611";"62855370";"6";
"Сортировщики мусора";"9612";"62855371";"2";
"Уборщики территорий (дворники) и подобные работники";"9613";"62855372";"3";
"Другие неквалифицированные работники";"962";"62855373";"5";
"Посыльные, доставщики пакетов и багажа и подобные работники";"9621";"62855374";"9";
"Разнорабочие";"9622";"62855375";"2";
"Сборщики денег из торговых автоматов, контролеры счетчиков и подобные работники";"9623";"62855376";"6";
"Развозчики воды и сборщики дров";"9624";"62855377";"8";
"Неквалифицированные работники, не входящие в другие группы";"9629";"62855378";"8";
