stopword
участок
отдел
группа
другой
работа
госуправление
менеджер
посредничество
школьник
безработный
студент
студентка
ученик
ученица
поиск
учёба
школа
родитель
шея
курс
стипендия
мама
пенсионер
пенсия
год
класс
маленький
